Date,Timestamp,Parameter,Value
2025-07-09,2025-07-09 15:00:00,CDT,345.0
2025-07-09,2025-07-09 16:00:00,CDT,364.0
2025-07-09,2025-07-09 17:00:00,CDT,360.0
2025-07-09,2025-07-09 18:00:00,CDT,344.0
2025-07-09,2025-07-09 19:00:00,CDT,344.0
2025-07-09,2025-07-09 20:00:00,CDT,343.0
2025-07-09,2025-07-09 21:00:00,CDT,333.0
2025-07-09,2025-07-09 22:00:00,CDT,333.0
2025-07-09,2025-07-09 23:00:00,CDT,332.0
2025-07-10,2025-07-10 00:00:00,CDT,331.0
2025-07-10,2025-07-10 01:00:00,CDT,332.0
2025-07-10,2025-07-10 02:00:00,CDT,329.0
2025-07-10,2025-07-10 03:00:00,CDT,329.0
2025-07-10,2025-07-10 04:00:00,CDT,317.5
2025-07-10,2025-07-10 05:00:00,CDT,313.2
2025-07-12,2025-07-12 10:00:00,CDT,335.0
2025-07-12,2025-07-12 11:00:00,CDT,364.0
2025-07-12,2025-07-12 12:00:00,CDT,363.0
2025-07-12,2025-07-12 13:00:00,CDT,324.0
2025-07-12,2025-07-12 14:00:00,CDT,365.0
2025-07-12,2025-07-12 15:00:00,CDT,364.0
2025-07-12,2025-07-12 16:00:00,CDT,355.0
2025-07-12,2025-07-12 17:00:00,CDT,364.0
2025-07-12,2025-07-12 18:00:00,CDT,364.0
2025-07-12,2025-07-12 19:00:00,CDT,360.0
2025-07-12,2025-07-12 20:00:00,CDT,361.0
2025-07-12,2025-07-12 21:00:00,CDT,351.0
2025-07-12,2025-07-12 22:00:00,CDT,360.0
2025-07-12,2025-07-12 23:00:00,CDT,351.0
2025-07-18,2025-07-18 14:00:00,CDT,9.0
2025-07-18,2025-07-18 15:00:00,CDT,10.0
2025-07-18,2025-07-18 16:00:00,CDT,10.0
2025-07-18,2025-07-18 17:00:00,CDT,10.0
2025-07-18,2025-07-18 18:00:00,CDT,10.0
2025-07-18,2025-07-18 19:00:00,CDT,10.0
2025-07-18,2025-07-18 20:00:00,CDT,10.0
2025-07-18,2025-07-18 21:00:00,CDT,10.0
2025-07-18,2025-07-18 22:00:00,CDT,9.0
2025-07-18,2025-07-18 23:00:00,CDT,10.0
2025-07-19,2025-07-19 00:00:00,CDT,344.0
2025-07-19,2025-07-19 01:00:00,CDT,346.0
2025-07-19,2025-07-19 02:00:00,CDT,347.0
2025-07-19,2025-07-19 03:00:00,CDT,343.0
2025-07-19,2025-07-19 04:00:00,CDT,343.0
2025-07-19,2025-07-19 05:00:00,CDT,347.0
2025-07-19,2025-07-19 06:00:00,CDT,358.0
2025-07-19,2025-07-19 07:00:00,CDT,346.0
2025-07-19,2025-07-19 08:00:00,CDT,357.0
2025-07-19,2025-07-19 09:00:00,CDT,360.0
2025-07-19,2025-07-19 10:00:00,CDT,351.0
2025-07-19,2025-07-19 11:00:00,CDT,345.0
2025-07-19,2025-07-19 12:00:00,CDT,355.0
2025-07-19,2025-07-19 13:00:00,CDT,352.0
2025-07-19,2025-07-19 14:00:00,CDT,363.0
2025-07-19,2025-07-19 15:00:00,CDT,364.0
2025-07-19,2025-07-19 16:00:00,CDT,363.0
2025-07-19,2025-07-19 17:00:00,CDT,361.0
2025-07-19,2025-07-19 18:00:00,CDT,352.0
2025-07-19,2025-07-19 19:00:00,CDT,351.0
2025-07-19,2025-07-19 20:00:00,CDT,357.0
2025-07-19,2025-07-19 21:00:00,CDT,360.0
2025-07-19,2025-07-19 22:00:00,CDT,344.0
2025-07-19,2025-07-19 23:00:00,CDT,337.0
2025-07-20,2025-07-20 00:00:00,CDT,348.0
2025-07-20,2025-07-20 01:00:00,CDT,344.0
2025-07-20,2025-07-20 02:00:00,CDT,341.0
2025-07-20,2025-07-20 03:00:00,CDT,345.0
2025-07-20,2025-07-20 04:00:00,CDT,359.0
2025-07-20,2025-07-20 05:00:00,CDT,358.0
2025-07-20,2025-07-20 06:00:00,CDT,358.0
